Time (microseconds),i_alpha,i_beta
0.00,-4994.33056640625,238.03547668457
100.00,-4991.70068359375,287.966979980469
200.00,-4988.5712890625,337.869995117188
300.00,-4984.943359375,387.738891601563
400.00,-4980.81640625,437.569488525391
500.00,-4976.19189453125,487.356079101563
600.00,-4971.0693359375,537.093872070313
700.00,-4965.44970703125,586.778137207031
800.00,-4959.33349609375,636.403747558594
900.00,-4952.7216796875,685.965393066406
1000.00,-4945.6142578125,735.458557128906
1100.00,-4938.01220703125,784.878356933594
1200.00,-4929.91650390625,834.219543457031
1300.00,-4921.32763671875,883.477294921875
1400.00,-4912.2470703125,932.646484375
1500.00,-4902.6748046875,981.72265625
1600.00,-4892.6123046875,1030.70068359375
1700.00,-4882.060546875,1079.57568359375
1800.00,-4871.0205078125,1128.34252929688
1900.00,-4859.49365234375,1176.99670410156
2000.00,-4847.48046875,1225.53308105469
2100.00,-4834.98291015625,1273.94677734375
2200.00,-4822.00146484375,1322.23327636719
2300.00,-4808.5380859375,1370.38732910156
2400.00,-4794.59375,1418.40466308594
2500.00,-4780.169921875,1466.27990722656
2600.00,-4765.26806640625,1514.00854492188
2700.00,-4749.8896484375,1561.58581542969
2800.00,-4734.0361328125,1609.00695800781
2900.00,-4717.708984375,1656.26733398438
3000.00,-4700.91015625,1703.36193847656
3100.00,-4683.6416015625,1750.2861328125
3200.00,-4665.904296875,1797.03540039063
3300.00,-4647.70068359375,1843.6044921875
3400.00,-4629.0322265625,1889.98962402344
3500.00,-4609.90087890625,1936.18579101563
3600.00,-4590.30810546875,1982.18835449219
3700.00,-4570.2568359375,2027.99243164063
3800.00,-4549.748046875,2073.59399414063
3900.00,-4528.78466796875,2118.98803710938
4000.00,-4507.3681640625,2164.17041015625
4100.00,-4485.5009765625,2209.13598632813
4200.00,-4463.18505859375,2253.880859375
4300.00,-4440.4228515625,2298.400390625
4400.00,-4417.216796875,2342.68994140625
4500.00,-4393.56884765625,2386.74536132813
4600.00,-4369.4814453125,2430.56176757813
4700.00,-4344.95751953125,2474.13500976563
4800.00,-4319.99853515625,2517.46166992188
4900.00,-4294.60791015625,2560.53564453125
5000.00,-4268.78759765625,2603.35424804688
5100.00,-4242.54052734375,2645.91186523438
5200.00,-4215.869140625,2688.20532226563
5300.00,-4188.77587890625,2730.22998046875
5400.00,-4161.26416015625,2771.98120117188
5500.00,-4133.3359375,2813.4560546875
5600.00,-4104.99462890625,2854.64892578125
5700.00,-4076.24267578125,2895.55615234375
5800.00,-4047.0830078125,2936.173828125
5900.00,-4017.51879882813,2976.49829101563
6000.00,-3987.552734375,3016.52490234375
6100.00,-3957.18798828125,3056.25
6200.00,-3926.42724609375,3095.66943359375
6300.00,-3895.27416992188,3134.77905273438
6400.00,-3863.7314453125,3173.57543945313
6500.00,-3831.80224609375,3212.05395507813
6600.00,-3799.48974609375,3250.21166992188
6700.00,-3766.79760742188,3288.04418945313
6800.00,-3733.728515625,3325.54809570313
6900.00,-3700.2861328125,3362.7197265625
7000.00,-3666.4736328125,3399.55444335938
7100.00,-3632.29467773438,3436.04931640625
7200.00,-3597.75244140625,3472.20043945313
7300.00,-3562.85009765625,3508.00463867188
7400.00,-3527.591796875,3543.4580078125
7500.00,-3491.98071289063,3578.55737304688
7600.00,-3456.02026367188,3613.29809570313
7700.00,-3419.71411132813,3647.67797851563
7800.00,-3383.06616210938,3681.69262695313
7900.00,-3346.07983398438,3715.33959960938
8000.00,-3308.75903320313,3748.615234375
8100.00,-3271.10717773438,3781.51513671875
8200.00,-3233.12817382813,3814.03784179688
8300.00,-3194.82592773438,3846.17822265625
8400.00,-3156.2041015625,3877.93432617188
8500.00,-3117.2666015625,3909.30297851563
8600.00,-3078.017578125,3940.2802734375
8700.00,-3038.46069335938,3970.86352539063
8800.00,-2998.59985351563,4001.0498046875
8900.00,-2958.43920898438,4030.83569335938
9000.00,-2917.98266601563,4060.21899414063
9100.00,-2877.23413085938,4089.19604492188
9200.00,-2836.1982421875,4117.76416015625
9300.00,-2794.87841796875,4145.92041015625
9400.00,-2753.279296875,4173.66162109375
9500.00,-2711.40478515625,4200.986328125
9600.00,-2669.25903320313,4227.89013671875
9700.00,-2626.84643554688,4254.37109375
9800.00,-2584.17114257813,4280.42724609375
9900.00,-2541.2373046875,4306.05517578125
10000.00,-2498.04931640625,4331.25244140625
10100.00,-2454.61181640625,4356.0166015625
10200.00,-2410.92846679688,4380.34521484375
10300.00,-2367.00415039063,4404.23583984375
10400.00,-2322.84326171875,4427.685546875
10500.00,-2278.44995117188,4450.69287109375
10600.00,-2233.82885742188,4473.25439453125
10700.00,-2188.984375,4495.369140625
10800.00,-2143.9208984375,4517.03466796875
10900.00,-2098.64306640625,4538.24853515625
11000.00,-2053.1552734375,4559.0078125
11100.00,-2007.46240234375,4579.3115234375
11200.00,-1961.56860351563,4599.15771484375
11300.00,-1915.47863769531,4618.54345703125
11400.00,-1869.19714355469,4637.46728515625
11500.00,-1822.72875976563,4655.92724609375
11600.00,-1776.07800292969,4673.921875
11700.00,-1729.24963378906,4691.44921875
11800.00,-1682.24841308594,4708.5068359375
11900.00,-1635.07897949219,4725.09423828125
12000.00,-1587.74597167969,4741.208984375
12100.00,-1540.25415039063,4756.849609375
12200.00,-1492.6083984375,4772.01416015625
12300.00,-1444.81335449219,4786.70166015625
12400.00,-1396.87377929688,4800.91064453125
12500.00,-1348.79455566406,4814.63916015625
12600.00,-1300.58032226563,4827.88671875
12700.00,-1252.23620605469,4840.6513671875
12800.00,-1203.76672363281,4852.931640625
12900.00,-1155.17687988281,4864.7265625
13000.00,-1106.47155761719,4876.03515625
13100.00,-1057.65563964844,4886.8564453125
13200.00,-1008.73388671875,4897.1884765625
13300.00,-959.711242675781,4907.03125
13400.00,-910.592651367188,4916.3828125
13500.00,-861.382934570313,4925.2431640625
13600.00,-812.087158203125,4933.61083984375
13700.00,-762.710144042969,4941.48486328125
13800.00,-713.2568359375,4948.86474609375
13900.00,-663.732238769531,4955.75
14000.00,-614.141235351563,4962.1396484375
14100.00,-564.488830566406,4968.0322265625
14200.00,-514.779968261719,4973.42919921875
14300.00,-465.019592285156,4978.3291015625
14400.00,-415.212738037109,4982.72998046875
14500.00,-365.364379882813,4986.6328125
14600.00,-315.479461669922,4990.037109375
14700.00,-265.563018798828,4992.9423828125
14800.00,-215.619995117188,4995.34814453125
14900.00,-165.655410766602,4997.25537109375
15000.00,-115.674270629883,4998.662109375
15100.00,-65.6815567016602,4999.568359375
15200.00,-15.6822738647461,4999.97509765625
15300.00,0,5000
15400.00,49.9991645812988,4999.75
15500.00,99.9933319091797,4998.99951171875
15600.00,149.977493286133,4997.75
15700.00,199.946670532227,4996
15800.00,249.895843505859,4993.7509765625
15900.00,299.820037841797,4991.0029296875
16000.00,349.714233398438,4987.7548828125
16100.00,399.573455810547,4984.00830078125
16200.00,449.392730712891,4979.763671875
16300.00,499.167053222656,4975.02099609375
16400.00,548.891479492188,4969.7802734375
16500.00,598.560974121094,4964.04296875
16600.00,648.170715332031,4957.80908203125
16700.00,697.715576171875,4951.080078125
16800.00,747.190673828125,4943.85546875
16900.00,796.591064453125,4936.13623046875
17000.00,845.911804199219,4927.92333984375
17100.00,895.14794921875,4919.21826171875
17200.00,944.294616699219,4910.02099609375
17300.00,993.346801757813,4900.3330078125
17400.00,1042.29968261719,4890.154296875
17500.00,1091.14831542969,4879.48681640625
17600.00,1139.88781738281,4868.33203125
17700.00,1188.51342773438,4856.689453125
17800.00,1237.02014160156,4844.56201171875
17900.00,1285.40295410156,4831.94970703125
18000.00,1333.65734863281,4818.8544921875
18100.00,1381.77844238281,4805.27734375
18200.00,1429.76123046875,4791.21875
18300.00,1477.60107421875,4776.6826171875
18400.00,1525.29321289063,4761.66748046875
18500.00,1572.83276367188,4746.17724609375
18600.00,1620.21508789063,4730.21142578125
18700.00,1667.43530273438,4713.7734375
18800.00,1714.48889160156,4696.86376953125
18900.00,1761.37097167969,4679.484375
19000.00,1808.07690429688,4661.63671875
19100.00,1854.60205078125,4643.3232421875
19200.00,1900.94177246094,4624.54541015625
19300.00,1947.09130859375,4605.30517578125
19400.00,1993.04626464844,4585.6044921875
19500.00,2038.8017578125,4565.44482421875
19600.00,2084.353515625,4544.82861328125
19700.00,2129.69677734375,4523.7587890625
19800.00,2174.8271484375,4502.23583984375
19900.00,2219.73999023438,4480.2626953125
20000.00,2264.4306640625,4457.841796875
20100.00,2308.89526367188,4434.97509765625
20200.00,2353.12866210938,4411.66455078125
20300.00,2397.126953125,4387.9130859375
20400.00,2440.88549804688,4363.72314453125
20500.00,2484.39990234375,4339.0966796875
20600.00,2527.66577148438,4314.03564453125
20700.00,2570.67895507813,4288.54345703125
20800.00,2613.43505859375,4262.623046875
20900.00,2655.92993164063,4236.27587890625
21000.00,2698.1591796875,4209.50537109375
21100.00,2740.11865234375,4182.31396484375
21200.00,2781.80395507813,4154.70361328125
21300.00,2823.21118164063,4126.6787109375
21400.00,2864.33618164063,4098.24072265625
21500.00,2905.17456054688,4069.39306640625
21600.00,2945.72265625,4040.13842773438
21700.00,2985.97607421875,4010.4794921875
21800.00,3025.9306640625,3980.419921875
21900.00,3065.5830078125,3949.96215820313
22000.00,3104.9287109375,3919.109375
22100.00,3143.9638671875,3887.86474609375
22200.00,3182.6845703125,3856.23120117188
22300.00,3221.0869140625,3824.2119140625
22400.00,3259.16748046875,3791.81030273438
22500.00,3296.921875,3759.03002929688
22600.00,3334.3466796875,3725.87329101563
22700.00,3371.43798828125,3692.34399414063
22800.00,3408.1923828125,3658.44580078125
22900.00,3444.60571289063,3624.18139648438
23000.00,3480.67456054688,3589.5546875
23100.00,3516.3955078125,3554.56909179688
23200.00,3551.7646484375,3519.22802734375
23300.00,3586.77880859375,3483.53515625
23400.00,3621.43432617188,3447.49365234375
23500.00,3655.7275390625,3411.10766601563
23600.00,3689.6552734375,3374.38061523438
23700.00,3723.2138671875,3337.31591796875
23800.00,3756.400390625,3299.91748046875
23900.00,3789.21118164063,3262.189453125
24000.00,3821.64306640625,3224.134765625
24100.00,3853.69262695313,3185.7578125
24200.00,3885.35693359375,3147.06201171875
24300.00,3916.6328125,3108.05200195313
24400.00,3947.51684570313,3068.73071289063
24500.00,3978.00634765625,3029.10302734375
24600.00,4008.09790039063,2989.17236328125
24700.00,4037.78881835938,2948.9423828125
24800.00,4067.07568359375,2908.41772460938
24900.00,4095.9560546875,2867.60229492188
25000.00,4124.4267578125,2826.50024414063
25100.00,4152.48486328125,2785.11499023438
25200.00,4180.1279296875,2743.45166015625
25300.00,4207.35302734375,2701.51416015625
25400.00,4234.15771484375,2659.30639648438
25500.00,4260.53857421875,2616.83251953125
25600.00,4286.4931640625,2574.0966796875
25700.00,4312.01953125,2531.10400390625
25800.00,4337.11474609375,2487.85815429688
25900.00,4361.77587890625,2444.36303710938
26000.00,4386.0009765625,2400.6240234375
26100.00,4409.78759765625,2356.64477539063
26200.00,4433.1328125,2312.4296875
26300.00,4456.03515625,2267.98364257813
26400.00,4478.49169921875,2223.310546875
26500.00,4500.50048828125,2178.41528320313
26600.00,4522.0595703125,2133.30224609375
26700.00,4543.166015625,2087.97583007813
26800.00,4563.818359375,2042.44055175781
26900.00,4584.01416015625,1996.70104980469
27000.00,4603.75146484375,1950.76196289063
27100.00,4623.02880859375,1904.62780761719
27200.00,4641.84326171875,1858.30285644531
27300.00,4660.19384765625,1811.79235839844
27400.00,4678.07861328125,1765.10070800781
27500.00,4695.49560546875,1718.23266601563
27600.00,4712.44287109375,1671.19250488281
27700.00,4728.91845703125,1623.98510742188
27800.00,4744.921875,1576.61584472656
27900.00,4760.4501953125,1529.08837890625
28000.00,4775.5029296875,1481.40832519531
28100.00,4790.078125,1433.58020019531
28200.00,4804.17431640625,1385.60864257813
28300.00,4817.78955078125,1337.49829101563
28400.00,4830.923828125,1289.25451660156
28500.00,4843.57421875,1240.88146972656
28600.00,4855.74072265625,1192.38464355469
28700.00,4867.421875,1143.76867675781
28800.00,4878.61572265625,1095.03796386719
28900.00,4889.322265625,1046.19799804688
29000.00,4899.53955078125,997.253295898438
29100.00,4909.2666015625,948.208740234375
29200.00,4918.50341796875,899.06982421875
29300.00,4927.248046875,849.840698242188
29400.00,4935.49951171875,800.526306152344
29500.00,4943.25830078125,751.132385253906
29600.00,4950.52197265625,701.662963867188
29700.00,4957.291015625,652.123474121094
29800.00,4963.564453125,602.518981933594
29900.00,4969.34130859375,552.85400390625
30000.00,4974.62109375,503.133697509766
30100.00,4979.40380859375,453.363433837891
30200.00,4983.6884765625,403.547546386719
30300.00,4987.474609375,353.691314697266
30400.00,4990.76220703125,303.799835205078
30500.00,4993.55029296875,253.877655029297
30600.00,4995.83935546875,203.930374145508
30700.00,4997.62890625,153.962799072266
30800.00,4998.9189453125,103.979995727539
30900.00,4999.70849609375,53.9861946105957
31000.00,4999.99853515625,3.9873251914978
31100.00,4999.7880859375,-46.0121078491211
31200.00,4999.078125,-96.0067520141602
31300.00,4997.8681640625,-145.991806030273
31400.00,4996.158203125,-195.962493896484
31500.00,4993.94921875,-245.913146972656
31600.00,4991.240234375,-295.839569091797
31700.00,4988.0322265625,-345.736389160156
31800.00,4984.32568359375,-395.598266601563
31900.00,4980.12060546875,-445.420928955078
32000.00,4975.41748046875,-495.199066162109
32100.00,4970.216796875,-544.927612304688
32200.00,4964.51904296875,-594.601684570313
32300.00,4958.32470703125,-644.21630859375
32400.00,4951.634765625,-693.766418457031
32500.00,4944.44970703125,-743.247131347656
32600.00,4936.77001953125,-792.653686523438
32700.00,4928.59716796875,-841.980773925781
32800.00,4919.9306640625,-891.223876953125
32900.00,4910.77294921875,-940.377563476563
33000.00,4901.12353515625,-989.437683105469
33100.00,4890.984375,-1038.39855957031
33200.00,4880.35595703125,-1087.25573730469
33300.00,4869.23974609375,-1136.00378417969
33400.00,4857.63623046875,-1184.638671875
33500.00,4845.54736328125,-1233.15478515625
33600.00,4832.9736328125,-1281.5478515625
33700.00,4819.9169921875,-1329.81237792969
33800.00,4806.3779296875,-1377.94445800781
33900.00,4792.3583984375,-1425.9384765625
34000.00,4777.85986328125,-1473.78967285156
34100.00,4762.88330078125,-1521.49389648438
34200.00,4747.43017578125,-1569.04602050781
34300.00,4731.5029296875,-1616.44091796875
34400.00,4715.10205078125,-1663.67419433594
34500.00,4698.22998046875,-1710.7412109375
34600.00,4680.8876953125,-1757.63745117188
34700.00,4663.07763671875,-1804.357421875
34800.00,4644.80126953125,-1850.89721679688
34900.00,4626.060546875,-1897.25183105469
35000.00,4606.85693359375,-1943.41674804688
35100.00,4587.19287109375,-1989.38720703125
35200.00,4567.06982421875,-2035.15905761719
35300.00,4546.490234375,-2080.72729492188
35400.00,4525.4560546875,-2126.087890625
35500.00,4503.96923828125,-2171.2353515625
35600.00,4482.03173828125,-2216.16552734375
35700.00,4459.646484375,-2260.87426757813
35800.00,4436.8154296875,-2305.35668945313
35900.00,4413.5400390625,-2349.60913085938
36000.00,4389.82373046875,-2393.62622070313
36100.00,4365.66845703125,-2437.40380859375
36200.00,4341.07666015625,-2480.93798828125
36300.00,4316.05078125,-2524.22387695313
36400.00,4290.59326171875,-2567.25756835938
36500.00,4264.70654296875,-2610.03393554688
36600.00,4238.3935546875,-2652.55004882813
36700.00,4211.65625,-2694.80102539063
36800.00,4184.498046875,-2736.78173828125
36900.00,4156.921875,-2778.48901367188
37000.00,4128.9296875,-2819.91845703125
37100.00,4100.5244140625,-2861.06591796875
37200.00,4071.70922851563,-2901.92749023438
37300.00,4042.48681640625,-2942.4990234375
37400.00,4012.86010742188,-2982.77587890625
37500.00,3982.83227539063,-3022.75512695313
37600.00,3952.40625,-3062.43090820313
37700.00,3921.58471679688,-3101.80126953125
37800.00,3890.37133789063,-3140.86157226563
37900.00,3858.7685546875,-3179.60766601563
38000.00,3826.7802734375,-3218.03540039063
38100.00,3794.4091796875,-3256.1416015625
38200.00,3761.65844726563,-3293.92260742188
38300.00,3728.53173828125,-3331.37377929688
38400.00,3695.0322265625,-3368.49145507813
38500.00,3661.1630859375,-3405.27319335938
38600.00,3626.92797851563,-3441.71411132813
38700.00,3592.330078125,-3477.81030273438
38800.00,3557.373046875,-3513.55908203125
38900.00,3522.06005859375,-3548.95654296875
39000.00,3486.39501953125,-3583.9990234375
39100.00,3450.38134765625,-3618.68334960938
39200.00,3414.02270507813,-3653.00561523438
39300.00,3377.32250976563,-3686.96264648438
39400.00,3340.28466796875,-3720.55078125
39500.00,3302.91284179688,-3753.76684570313
39600.00,3265.21069335938,-3786.607421875
39700.00,3227.18212890625,-3819.0703125
39800.00,3188.83056640625,-3851.150390625
39900.00,3150.16040039063,-3882.845703125
40000.00,3111.17504882813,-3914.15234375
40100.00,3071.87866210938,-3945.06762695313
40200.00,3032.27514648438,-3975.5888671875
40300.00,2992.36840820313,-4005.71240234375
40400.00,2952.16235351563,-4035.43530273438
40500.00,2911.6611328125,-4064.75439453125
40600.00,2870.86865234375,-4093.66723632813
40700.00,2829.7890625,-4122.1708984375
40800.00,2788.4267578125,-4150.26220703125
40900.00,2746.78540039063,-4177.93896484375
41000.00,2704.86938476563,-4205.197265625
41100.00,2662.68286132813,-4232.03466796875
41200.00,2620.23022460938,-4258.44921875
41300.00,2577.51538085938,-4284.4384765625
41400.00,2534.54296875,-4309.9990234375
41500.00,2491.31689453125,-4335.12841796875
41600.00,2447.841796875,-4359.82421875
41700.00,2404.1220703125,-4384.08447265625
41800.00,2360.16186523438,-4407.90576171875
41900.00,2315.96533203125,-4431.287109375
42000.00,2271.53759765625,-4454.22412109375
42100.00,2226.88256835938,-4476.71630859375
42200.00,2182.0048828125,-4498.76123046875
42300.00,2136.90893554688,-4520.35595703125
42400.00,2091.59936523438,-4541.49853515625
42500.00,2046.08056640625,-4562.1875
42600.00,2000.35717773438,-4582.41943359375
42700.00,1954.43371582031,-4602.19384765625
42800.00,1908.31481933594,-4621.50732421875
42900.00,1862.00524902344,-4640.359375
43000.00,1815.50927734375,-4658.7470703125
43100.00,1768.83190917969,-4676.6689453125
43200.00,1721.9775390625,-4694.123046875
43300.00,1674.95104980469,-4711.107421875
43400.00,1627.75708007813,-4727.6220703125
43500.00,1580.40026855469,-4743.66259765625
43600.00,1532.88549804688,-4759.22900390625
43700.00,1485.21740722656,-4774.31982421875
43800.00,1437.40075683594,-4788.93310546875
43900.00,1389.4404296875,-4803.06689453125
44000.00,1341.34118652344,-4816.7216796875
44100.00,1293.10766601563,-4829.8935546875
44200.00,1244.74499511719,-4842.5830078125
44300.00,1196.2578125,-4854.78759765625
44400.00,1147.65087890625,-4866.5078125
44500.00,1098.92932128906,-4877.740234375
44600.00,1050.09777832031,-4888.486328125
44700.00,1001.16131591797,-4898.74267578125
44800.00,952.124694824219,-4908.50830078125
44900.00,902.992858886719,-4917.7841796875
45000.00,853.770751953125,-4926.56884765625
45100.00,804.463256835938,-4934.859375
45200.00,755.075317382813,-4942.6572265625
45300.00,705.61181640625,-4949.9609375
45400.00,656.077819824219,-4956.76904296875
45500.00,606.478210449219,-4963.08203125
45600.00,556.817932128906,-4968.8984375
45700.00,507.101989746094,-4974.21875
45800.00,457.335327148438,-4979.04052734375
45900.00,407.522918701172,-4983.36474609375
46000.00,357.669769287109,-4987.1904296875
46100.00,307.780853271484,-4990.517578125
46200.00,257.861175537109,-4993.34619140625
46300.00,207.91569519043,-4995.6748046875
46400.00,157.949432373047,-4997.50439453125
46500.00,107.96736907959,-4998.833984375
46600.00,57.9745101928711,-4999.66357421875
46700.00,7.97585296630859,-4999.99365234375
46800.00,-42.0236015319824,-4999.8232421875
46900.00,-92.0188522338867,-4999.15283203125
47000.00,-142.004898071289,-4997.98291015625
47100.00,-191.976745605469,-4996.31298828125
47200.00,-241.929397583008,-4994.1435546875
47300.00,-291.857879638672,-4991.47412109375
47400.00,-341.757141113281,-4988.30615234375
47500.00,-391.622222900391,-4984.63916015625
47600.00,-441.448181152344,-4980.47412109375
47700.00,-491.22998046875,-4975.81103515625
47800.00,-540.962646484375,-4970.64990234375
47900.00,-590.641235351563,-4964.99169921875
48000.00,-640.2607421875,-4958.8369140625
48100.00,-689.816223144531,-4952.18701171875
48200.00,-739.302734375,-4945.041015625
48300.00,-788.715270996094,-4937.40087890625
48400.00,-838.049011230469,-4929.26708984375
48500.00,-887.298889160156,-4920.64013671875
48600.00,-936.460083007813,-4911.521484375
48700.00,-985.527587890625,-4901.9111328125
48800.00,-1034.49658203125,-4891.81103515625
48900.00,-1083.36206054688,-4881.2216796875
49000.00,-1132.11926269531,-4870.14453125
49100.00,-1180.76330566406,-4858.580078125
49200.00,-1229.28918457031,-4846.529296875
49300.00,-1277.69213867188,-4833.994140625
49400.00,-1325.96740722656,-4820.97607421875
49500.00,-1374.10998535156,-4807.4755859375
49600.00,-1422.11511230469,-4793.494140625
49700.00,-1469.97814941406,-4779.03369140625
49800.00,-1517.69421386719,-4764.09521484375
49900.00,-1565.25842285156,-4748.6806640625
50000.00,-1612.66613769531,-4732.791015625
